gene_symbol	ensembl_id	chrom	gene_start	gene_end	tier	mechanism	n_dis_card	n_dis_kid	n_dis_ckd	pLI	LOEUF
CACNA1D	ENSG00000157388	3	53494611	53813733	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	1.0	0.253
DNASE1L3	ENSG00000163687	3	58192257	58210972	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	5.593e-08	1.122
GBE1	ENSG00000114480	3	81489703	81761645	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.475e-08	1.211
ARL6	ENSG00000113966	3	97764758	97801229	1 - CHD + renal anomaly + documented CKD	Other	2	2	1	0.0088078	0.956
HGD	ENSG00000113924	3	120628172	120682239	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	7.0216e-14	1.199
IFT122	ENSG00000163913	3	129440224	129520507	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	1	1	9.3639e-23	0.811
NPHP3	ENSG00000113971	3	132680609	132722409	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	6	5	1.4470999999999998e-21	0.873
STAG1	ENSG00000118007	3	136336236	136752378	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.159
DBR1	ENSG00000138231	3	138160988	138174921	3 - CHD + renal anomaly, single-disease	Other	1	1	0	6.9606e-05	0.841
MRAS	ENSG00000158186	3	138348579	138405533	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.99089	0.444
MRPS22	ENSG00000175110	3	139344020	139357129	3 - CHD + renal anomaly, single-disease	Mitochondrial / OXPHOS	1	1	0	5.5448e-07	0.927
RASA2	ENSG00000155903	3	141487027	141615344	3 - CHD + renal anomaly, single-disease	Other	1	1	0	2.9677e-36	1.484
IL12A	ENSG00000168811	3	159988835	159996019	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.00048215	1.132
PLD1	ENSG00000075651	3	171600404	171810483	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.6495e-06	0.822
PIK3CA	ENSG00000121879	3	179148357	179240093	2 - CHD + renal anomaly, multi-disease	Other	3	3	0	1.0	0.221
TRA2B	ENSG00000136527	3	185914558	185938014	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.95587	0.528
DNAJB11	ENSG00000090520	3	186570720	186585793	1 - CHD + renal anomaly + documented CKD	Polycystic kidney disease	1	2	2	0.00011029	0.933
MASP1	ENSG00000127241	3	187234082	187291737	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.584e-13	0.874
TP63	ENSG00000073282	3	189631389	189897276	2 - CHD + renal anomaly, multi-disease	Other	3	2	0	1.0	0.296
CEP19	ENSG00000174007	3	196706277	196712250	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.00012527	1.208
RPL35A	ENSG00000182899	3	197950190	197956610	3 - CHD + renal anomaly, single-disease	Ribosomopathy	2	1	0	0.99874	0.202
FGFR3	ENSG00000068078	4	1793293	1808867	3 - CHD + renal anomaly, single-disease	Other	3	1	0	0.99865	0.458
NSD2	ENSG00000109685	4	1871393	1982192	3 - CHD + renal anomaly, single-disease	Other	2	1	0	1.0	0.139
EVC2	ENSG00000173040	4	5562439	5708559	3 - CHD + renal anomaly, single-disease	Other	2	1	0	1.7773e-47	1.092
EVC	ENSG00000072840	4	5711201	5814305	3 - CHD + renal anomaly, single-disease	Other	2	1	0	6.2955e-37	1.134
WFS1	ENSG00000109501	4	6269850	6303265	3 - CHD + renal anomaly, single-disease	Other	2	1	0	1.7214e-39	1.64
CC2D2A	ENSG00000048342	4	15469882	15601552	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	4	3	6.8922e-26	0.854
TAPT1	ENSG00000169762	4	16160505	16226471	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.13378	0.698
SLC34A2	ENSG00000157765	4	25655851	25678748	3 - CHD + renal anomaly, single-disease	Other	1	1	0	5.154e-11	1.019
RPL9	ENSG00000163682	4	39454124	39458922	3 - CHD + renal anomaly, single-disease	Ribosomopathy	1	1	0	0.99998	0.131
FRYL	ENSG00000075539	4	48497357	48780279	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.99999	0.434
ADAMTS3	ENSG00000156140	4	72280969	72569221	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.2131e-09	0.67
COQ2	ENSG00000173085	4	83263824	83284798	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.00017758	1.032
SPP1	ENSG00000118785	4	87975714	87983411	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	1.7465e-07	1.335
PKD2	ENSG00000118762	4	88007635	88077777	1 - CHD + renal anomaly + documented CKD	Polycystic kidney disease	2	2	2	0.00018979	0.683
CENPE	ENSG00000138778	4	103105811	103198343	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.99958	0.451
TBCK	ENSG00000145348	4	106041599	106316209	3 - CHD + renal anomaly, single-disease	Other	1	1	0	3.1309e-14	1.062
BBS7	ENSG00000138686	4	121824329	121870474	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	1	1	8.5502e-07	0.701
BBS12	ENSG00000181004	4	122732704	122744939	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	2	1	0.0035062	1.419
FAT4	ENSG00000196159	4	125314955	125492932	2 - CHD + renal anomaly, multi-disease	Other	3	3	0	1.0	0.317
SCLT1	ENSG00000151466	4	128883993	129093539	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.0024516	1.099
EDNRA	ENSG00000151617	4	147481097	147544954	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.99908	0.424
ETFDH	ENSG00000171503	4	158672296	158709623	3 - CHD + renal anomaly, single-disease	Other	1	1	0	7.6935e-06	1.126
NEK1	ENSG00000137601	4	169392809	169612583	3 - CHD + renal anomaly, single-disease	Other	2	1	0	9.1878e-23	0.959
SDHA	ENSG00000073578	5	218320	257082	3 - CHD + renal anomaly, single-disease	Mitochondrial / OXPHOS	5	1	0	3.3694e-08	0.786
TRIP13	ENSG00000071539	5	892884	918120	3 - CHD + renal anomaly, single-disease	Other	1	3	0	0.19213	0.592
NSUN2	ENSG00000037474	5	6599239	6633044	3 - CHD + renal anomaly, single-disease	Other	1	1	0	6.8367e-15	0.965
DNAJC21	ENSG00000168724	5	34929559	34958964	3 - CHD + renal anomaly, single-disease	Other	2	1	0	1.0319e-16	1.083
NIPBL	ENSG00000164190	5	36876769	37066413	1 - CHD + renal anomaly + documented CKD	Chromatin / histone modifier	2	2	1	1.0	0.057
CPLANE1	ENSG00000197603	5	37106235	37249376	2 - CHD + renal anomaly, multi-disease	Other	3	3	0	2.7962e-36	0.728
ERCC8	ENSG00000049167	5	60866454	60945070	1 - CHD + renal anomaly + documented CKD	Other	1	1	3	1.7192e-11	1.608
CWC27	ENSG00000153015	5	64768930	65018750	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	4.1569e-06	1.181
XRCC4	ENSG00000152422	5	83077547	83353760	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.2492e-07	1.032
SKIC3	ENSG00000198677	5	95463894	95554977	2 - CHD + renal anomaly, multi-disease	Other	2	2	0		
ARSK	ENSG00000164291	5	95555101	95605102	3 - CHD + renal anomaly, single-disease	Other	1	1	0	5.7322e-10	0.954
ERAP1	ENSG00000164307	5	96774484	96807945	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	1.2589e-21	0.947
LMNB1	ENSG00000113368	5	126777136	126837020	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.86621	0.55
AFF4	ENSG00000072364	5	132875395	132963634	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	1.0	0.114
TXNDC15	ENSG00000113621	5	134874371	134901635	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	2.4837e-06	0.975
HSPA9	ENSG00000113013	5	138553756	138575401	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.86038	0.525
SPINK5	ENSG00000133710	5	148063980	148137382	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.2594e-31	0.908
CAMK2A	ENSG00000070808	5	150219491	150289773	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.187
IL12B	ENSG00000113302	5	159314780	159330487	3 - CHD + renal anomaly, single-disease	Other	1	1	0	4.4538e-07	0.999
FBXW11	ENSG00000072803	5	171861549	172006638	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.354
NSD1	ENSG00000165671	5	177133773	177300213	1 - CHD + renal anomaly + documented CKD	Other	3	2	1	1.0	0.144
RREB1	ENSG00000124782	6	7107961	7251980	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.366
TBC1D7	ENSG00000145979	6	13304951	13328537	3 - CHD + renal anomaly, single-disease	Other	1	1	0	5.9197e-11	1.431
SOX4	ENSG00000124766	6	21593751	21598619	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.78917	0.72
HFE	ENSG00000010704	6	26087429	26098343	3 - CHD + renal anomaly, single-disease	Other	2	1	0	1.0122e-09	1.037
H4C3	ENSG00000197061	6	26103933	26104337	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.5501e-05	1.955
H4C9	ENSG00000276180	6	27139282	27139678	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.083933	1.641
HLA-B	ENSG00000234745	6	31353875	31357179	1 - CHD + renal anomaly + documented CKD	Other	5	2	3	7.5721e-05	1.853
SKIC2	ENSG00000204351	6	31959175	31969751	3 - CHD + renal anomaly, single-disease	Other	1	1	0		
C4A	ENSG00000244731	6	31982057	32002681	1 - CHD + renal anomaly + documented CKD	Other	1	3	1	0.10773	0.752
TNXB	ENSG00000168477	6	32041153	32109338	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	7.7924e-31	0.674
HLA-DRB1	ENSG00000196126	6	32578775	32589848	1 - CHD + renal anomaly + documented CKD	Other	3	3	3		
HLA-DPA1	ENSG00000231389	6	33064569	33073649	1 - CHD + renal anomaly + documented CKD	Other	1	1	1		
HLA-DPB1	ENSG00000223865	6	33075990	33089696	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	3.4263e-11	1.473
RPS10	ENSG00000124614	6	34417454	34426069	3 - CHD + renal anomaly, single-disease	Ribosomopathy	1	1	0	0.99983	0.265
FANCE	ENSG00000112039	6	35452338	35467102	1 - CHD + renal anomaly + documented CKD	Other	2	2	1	7.6995e-11	0.957
MMUT	ENSG00000146085	6	49430360	49463253	1 - CHD + renal anomaly + documented CKD	Other	2	1	3	4.9198e-22	1.18
CILK1	ENSG00000112144	6	53001303	53061824	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	1.5236e-07	0.774
RAB23	ENSG00000112210	6	57186992	57222307	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.033359	0.838
LMBRD1	ENSG00000168216	6	69674010	69797010	3 - CHD + renal anomaly, single-disease	Other	2	1	0	1.0849e-10	1.184
RRAGD	ENSG00000025039	6	89364616	89412273	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	0.55965	0.63
MAP3K7	ENSG00000135341	6	90513579	90587072	2 - CHD + renal anomaly, multi-disease	Other	4	2	0	0.99991	0.397
FBXL4	ENSG00000112234	6	98868535	98947946	3 - CHD + renal anomaly, single-disease	Other	1	1	0	6.4718e-09	0.841
SEC63	ENSG00000025796	6	107867756	107958208	3 - CHD + renal anomaly, single-disease	Polycystic kidney disease	1	1	0	0.90762	0.532
FIG4	ENSG00000112367	6	109691296	109825426	3 - CHD + renal anomaly, single-disease	Other	2	1	0	1.3237e-16	0.966
DSE	ENSG00000111817	6	116370947	116444861	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.062098	0.563
TBC1D32	ENSG00000146350	6	121079494	121334480	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.5692e-24	0.984
ENPP1	ENSG00000197594	6	131808020	131895155	2 - CHD + renal anomaly, multi-disease	Other	3	4	0	1.7403e-05	0.729
AHI1	ENSG00000135541	6	135283532	135497740	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	3	1	1	2.6598000000000003e-30	1.069
IFNGR1	ENSG00000027697	6	137197485	137219385	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.00046256	0.881
ARID1B	ENSG00000049618	6	156777378	157210779	2 - CHD + renal anomaly, multi-disease	Chromatin / histone modifier	2	2	0	1.0	0.205
DLL1	ENSG00000198719	6	170282206	170291078	3 - CHD + renal anomaly, single-disease	Other	5	1	0	1.0	0.236
INTS1	ENSG00000164880	7	1470277	1504389	3 - CHD + renal anomaly, single-disease	Other	1	1	0	2.0443e-30	0.785
ACTB	ENSG00000075624	7	5527148	5530601	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.193
IL6	ENSG00000136244	7	22727200	22731998	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.19986	0.881
HOXA13	ENSG00000106031	7	27194364	27200091	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.98285	0.482
BBS9	ENSG00000122507	7	33129564	33606069	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	1	2	6.721399999999999e-22	0.959
GCK	ENSG00000106633	7	44144275	44189439	3 - CHD + renal anomaly, single-disease	Other	1	1	0	7.7468e-07	0.866
GRB10	ENSG00000106070	7	50590068	50782896	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.365
SBDS	ENSG00000126524	7	66987680	66995586	3 - CHD + renal anomaly, single-disease	Ribosomopathy	2	1	0	1.3519e-05	1.08
FKBP6	ENSG00000077800	7	73328161	73358625	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	4.027e-06	1.068
BAZ1B	ENSG00000009954	7	73440406	73522293	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	1.0	0.201
TBL2	ENSG00000106638	7	73567537	73578579	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	1.3839e-09	1.054
MLXIPL	ENSG00000009950	7	73593202	73624522	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	1.2246e-11	0.884
VPS37D	ENSG00000176428	7	73667831	73672110	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.26283	0.986
DNAJC30	ENSG00000176410	7	73680918	73683453	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	5.877e-07	1.484
BUD23	ENSG00000071462	7	73683597	73698212	1 - CHD + renal anomaly + documented CKD	Ribosomopathy	1	1	1	1.9186e-08	0.916
STX1A	ENSG00000106089	7	73699210	73719669	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	0.99999	0.257
METTL27	ENSG00000165171	7	73834590	73842516	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	1.7958e-12	1.717
TMEM270	ENSG00000175877	7	73861159	73865890	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	4.1762e-11	1.392
ELN	ENSG00000049540	7	74028173	74069907	1 - CHD + renal anomaly + documented CKD	ECM / basement membrane	5	3	2	7.6169e-10	0.696
LIMK1	ENSG00000106683	7	74083804	74122525	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	1.0	0.338
EIF4H	ENSG00000106682	7	74174356	74197096	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.97569	0.507
RFC2	ENSG00000049541	7	74231502	74254399	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.00080984	1.394
CLIP2	ENSG00000106665	7	74289407	74405935	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.9929	0.476
GTF2IRD1	ENSG00000006704	7	74453906	74602605	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	1.0	0.309
GTF2I	ENSG00000263001	7	74657718	74760692	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.99996	0.195
NCF1	ENSG00000158517	7	74774011	74789315	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.82121	0.617
GTF2IRD2	ENSG00000196275	7	74796151	74851605	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.40188	0.871
SEMA3E	ENSG00000170381	7	83363238	83649139	3 - CHD + renal anomaly, single-disease	Other	1	1	0	2.7748e-06	0.668
TRRAP	ENSG00000196367	7	98878532	99013241	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.115
GNB2	ENSG00000172354	7	100673740	100679169	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.99977	0.372
CFTR	ENSG00000001626	7	117480025	117668665	3 - CHD + renal anomaly, single-disease	Other	1	2	0	2.3757e-39	1.152
CEP41	ENSG00000106477	7	130393771	130441016	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.00023358	1.066
BRAF	ENSG00000157764	7	140719337	140924929	2 - CHD + renal anomaly, multi-disease	RAS-MAPK (RASopathy)	7	4	0	1.0	0.237
PRKAG2	ENSG00000106617	7	151556127	151877115	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.19664	0.582
XRCC2	ENSG00000196584	7	152644776	152676141	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	1.5001e-07	1.209
SHH	ENSG00000164690	7	155799980	155812463	2 - CHD + renal anomaly, multi-disease	Other	5	2	0	0.97518	0.493
NCAPG2	ENSG00000146918	7	158631169	158704804	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.99989	0.441
DYNC2I1	ENSG00000126870	7	158856558	158946189	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	2	1	2.2708e-17	0.802
ERI1	ENSG00000104626	8	9002897	9033338	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	4.2781e-07	1.526
ATP6V1B2	ENSG00000147416	8	20197381	20221696	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.99842	0.457
RHOBTB2	ENSG00000008853	8	22999548	23020199	3 - CHD + renal anomaly, single-disease	Other	2	1	0	1.8612e-06	0.761
EXTL3	ENSG00000012232	8	28701501	28755599	3 - CHD + renal anomaly, single-disease	Other	1	2	0	0.92595	0.511
FGFR1	ENSG00000077782	8	38411143	38468635	2 - CHD + renal anomaly, multi-disease	Other	5	3	0	1.0	0.274
KAT6A	ENSG00000083168	8	41929479	42051987	2 - CHD + renal anomaly, multi-disease	Chromatin / histone modifier	2	2	0	1.0	0.083
SOX17	ENSG00000164736	8	54457935	54460892	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.86139	0.614
RPS20	ENSG00000008988	8	56073054	56074506	3 - CHD + renal anomaly, single-disease	Ribosomopathy	2	1	0	0.9668	0.481
CHD7	ENSG00000171316	8	60678740	60868028	2 - CHD + renal anomaly, multi-disease	Chromatin / histone modifier	2	3	0	1.0	0.109
CSPP1	ENSG00000104218	8	67064392	67196614	1 - CHD + renal anomaly + documented CKD	Other	2	3	1	1.8241e-09	0.876
PEX2	ENSG00000164751	8	76980258	77000078	2 - CHD + renal anomaly, multi-disease	Peroxisomal	3	2	0	1.7994e-05	1.057
TMEM67	ENSG00000164953	8	93754894	93818121	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	9	7	3.1439e-18	1.079
CFAP418	ENSG00000156172	8	95244913	95269201	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	1.7648e-05	1.642
GDF6	ENSG00000156466	8	96142333	96160806	3 - CHD + renal anomaly, single-disease	Developmental TF (CAKUT/CHD syndromes)	1	2	0	0.99958	0.342
RSPO2	ENSG00000147655	8	107899316	108083620	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.2904	0.668
RAD21	ENSG00000164754	8	116845934	116874776	1 - CHD + renal anomaly + documented CKD	Other	3	2	1	1.0	0.341
WASHC5	ENSG00000164961	8	125024260	125091792	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	5.0212e-14	0.792
PUF60	ENSG00000179950	8	143816344	143829315	2 - CHD + renal anomaly, multi-disease	Other	3	3	0	1.0	0.295
PLEC	ENSG00000178209	8	143915153	143939597	3 - CHD + renal anomaly, single-disease	Other	1	1	0	5.951e-44	0.726
FOXH1	ENSG00000160973	8	144473412	144475849	3 - CHD + renal anomaly, single-disease	Other	5	1	0	8.7986e-06	1.608
RECQL4	ENSG00000160957	8	144511288	144517833	3 - CHD + renal anomaly, single-disease	Other	2	1	0	5.7709e-69	1.519
RPL8	ENSG00000161016	8	144789769	144792390	3 - CHD + renal anomaly, single-disease	Ribosomopathy	1	1	0	0.99996	0.137
DMRT2	ENSG00000173253	9	1050357	1057552	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.9527e-11	1.279
FREM1	ENSG00000164946	9	14737152	14910428	3 - CHD + renal anomaly, single-disease	ECM / basement membrane	1	2	0	2.6458999999999997e-52	1.157
FOCAD	ENSG00000188352	9	20684259	20995950	3 - CHD + renal anomaly, single-disease	Other	1	1	0	6.8573e-37	0.958
IFT74	ENSG00000096872	9	26956412	27066134	1 - CHD + renal anomaly + documented CKD	Other	2	1	1	5.5812e-09	1.508
TOPORS	ENSG00000197579	9	32540544	32552586	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.99997	0.418
APTX	ENSG00000137074	9	32972616	33001628	3 - CHD + renal anomaly, single-disease	Other	1	1	0	2.0655e-07	0.973
FANCG	ENSG00000221829	9	35073839	35079942	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	1.5160000000000003e-20	1.05
PIGO	ENSG00000165282	9	35088688	35096591	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.7784e-16	0.89
HNRNPK	ENSG00000165119	9	83968083	83980215	1 - CHD + renal anomaly + documented CKD	Other	2	3	1	0.99995	0.242
GAS1	ENSG00000180447	9	86944362	86947506	3 - CHD + renal anomaly, single-disease	Other	5	1	0	0.00071229	1.795
FANCC	ENSG00000158169	9	95099054	95317709	1 - CHD + renal anomaly + documented CKD	Other	2	2	1	2.6625e-14	1.022
PTCH1	ENSG00000185920	9	95442980	95509266	3 - CHD + renal anomaly, single-disease	Other	8	1	0	1.0	0.146
ANKS6	ENSG00000165138	9	98732009	98796555	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	1	1	4.1775e-10	0.869
INVS	ENSG00000119509	9	100099243	100302175	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	2	2	1.7464e-21	0.941
FKTN	ENSG00000106692	9	105558131	105641118	3 - CHD + renal anomaly, single-disease	Other	4	1	0	1.5042e-05	1.022
TRIM32	ENSG00000119401	9	116687305	116701299	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.0070294	0.73
TLR4	ENSG00000136869	9	117704403	117724735	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.00041066	0.858
GSN	ENSG00000148180	9	121268162	121332842	1 - CHD + renal anomaly + documented CKD	Other	2	1	2	2.3482e-09	0.788
CRB2	ENSG00000148204	9	123356197	123378753	1 - CHD + renal anomaly + documented CKD	Other	1	3	2	1.0688999999999999e-28	1.202
NR6A1	ENSG00000148200	9	124517275	124771311	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.193
RPL35	ENSG00000136942	9	124857883	124861957	3 - CHD + renal anomaly, single-disease	Ribosomopathy	1	1	0	0.99253	0.391
POMT1	ENSG00000130714	9	131502918	131523799	3 - CHD + renal anomaly, single-disease	Other	4	1	0	7.2486e-26	1.002
TSC1	ENSG00000165699	9	132891349	132944616	1 - CHD + renal anomaly + documented CKD	Other	3	3	1	1.0	0.227
MYMK	ENSG00000187616	9	133514586	133524959	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.0025746	1.02
INPP5E	ENSG00000148384	9	136428619	136439845	1 - CHD + renal anomaly + documented CKD	Other	2	2	1	1.1997e-11	1.179
AGPAT2	ENSG00000169692	9	136673143	136687457	3 - CHD + renal anomaly, single-disease	Other	1	1	0	7.177e-06	1.199
GRIN1	ENSG00000176884	9	137139154	137168756	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.018437	0.574
EHMT1	ENSG00000181090	9	137619005	137836127	1 - CHD + renal anomaly + documented CKD	Other	3	1	1	1.0	0.159
